"",tSNE_1,tSNE_2,Cluster
4_#_BRCA_00020_TCGA-A1-A0SQ-01Z-00-DX1,15.491337322252,-3.68666833755174,4
3_#_BRCA_00020_TCGA-A1-A0SQ-01Z-00-DX1,-4.2913453060993,-22.7243172760519,9
5_#_BRCA_00020_TCGA-A1-A0SQ-01Z-00-DX1,26.7061079703363,-10.646856777164,4
6_#_BRCA_00020_TCGA-A1-A0SQ-01Z-00-DX1,-6.07477421900823,-31.8175005210252,9
0_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,1.90544472595276,10.1263797939022,1
1_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,33.0193067668544,-14.302321196227,4
2_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,1.58781380895532,8.83798542529407,1
3_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,1.79605119512349,9.37446674493225,1
4_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,1.83742621699598,8.87170713465509,1
5_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,21.9914187386308,-12.4831748367157,4
6_#_BRCA_00021_TCGA-A2-A04N-01Z-00-DX1,4.60852143651766,6.90578557692573,1
1_#_BRCA_00022_TCGA-A2-A04P-01Z-00-DX1,3.55964695917992,10.6859900991756,1
0_#_BRCA_00022_TCGA-A2-A04P-01Z-00-DX1,15.731485439355,-7.53595036800778,4
2_#_BRCA_00022_TCGA-A2-A04P-01Z-00-DX1,8.45718435318198,18.1589872137293,1
3_#_BRCA_00022_TCGA-A2-A04P-01Z-00-DX1,8.52345427557531,18.1497977085698,1
4_#_BRCA_00022_TCGA-A2-A04P-01Z-00-DX1,-3.5092517946848,19.0720815030358,1
0_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,29.5867078500034,17.3275899840954,7
4_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,23.352370375337,3.0085150211782,4
2_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,6.29219008530099,3.61464627873004,6
1_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,29.0322503266587,-1.41290298604712,4
5_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,8.09817061964268,28.3111150394052,6
6_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,29.3339795916004,14.664623453781,7
3_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,22.366194981429,4.00963622405332,4
7_#_BRCA_00023_TCGA-A2-A04Q-01Z-00-DX1,27.966399083339,13.4951388210719,7
0_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,7.74471030918153,13.1304140025768,1
2_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,27.3571064424807,10.4641332442725,7
1_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,11.8643098315054,19.077327672544,1
3_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,7.38921317539046,12.371423864218,1
4_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,6.5895915650859,12.6150042997028,1
5_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,11.9291045038399,18.9100176591196,1
6_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,11.7513611162102,18.3536961479863,1
7_#_BRCA_00024_TCGA-A2-A04R-01Z-00-DX1,9.18566604221792,-22.1410732197991,9
0_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,3.18114858039656,10.9551609731649,1
1_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,-4.39960194191065,36.1000170390298,6
2_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,8.65842628069697,17.6443370218194,1
3_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,4.05143862582866,10.5591014953966,1
4_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,10.4106129834918,-21.8559920875961,9
6_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,9.80927453530144,24.4195186569912,1
7_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,15.071373695542,-7.99739434617648,4
5_#_BRCA_00025_TCGA-A2-A04T-01Z-00-DX1,-1.47207656539096,13.2926247060942,5
2_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,-2.99955878744699,-2.54213329629901,2
4_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,-12.302222579361,-10.3553884118396,2
0_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,20.365111131926,-12.2117255103581,4
1_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,-12.2752343757531,-10.3445258962887,2
7_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,17.9172131222903,1.50002960989232,4
8_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,27.1177818026148,-13.8777600328527,4
3_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,5.21042559349023,16.0699713982344,1
5_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,-15.2835314674948,-28.6495071557753,2
6_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,16.1469281593968,-0.893677184194294,1
9_#_BRCA_00026_TCGA-A2-A04U-01Z-00-DX1,-23.7131778644278,2.03054103791707,5
1_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,-11.9717635009633,-18.2139322422117,2
0_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,4.93633948156369,6.57191634377721,2
3_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,-14.6452839942592,-19.5707404870807,2
2_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,-12.3026144278454,-18.3296744428317,2
5_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,5.480067498098,6.42599289809576,1
4_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,23.1303997285331,3.01959653729285,4
6_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,4.69192352523467,10.2168111163793,1
7_#_BRCA_00027_TCGA-A2-A04V-01Z-00-DX1,5.94819097312777,3.45600242684154,7
0_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,27.7143209242551,-20.5358043964775,4
1_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,-0.69244522578608,10.8720356190765,1
2_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,25.8499933938207,-6.48037161805527,2
3_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,-13.7224510019533,21.9221036230578,5
6_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,24.5314564370097,-3.79686623228422,4
5_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,-13.791986517026,21.8351583108238,5
4_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,-13.4002590354498,22.3277321894297,5
7_#_BRCA_00028_TCGA-A2-A04W-01Z-00-DX1,3.03215531235605,4.69086362832788,1
1_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,-16.5894646214448,-29.1079545417735,2
2_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,5.88418249984359,2.87861972321168,7
0_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,28.5730981078643,-17.4004181443362,4
5_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,19.9465607115075,2.15294231368712,6
3_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,-16.3308162530417,-29.0417860899299,2
4_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,-16.1500532597458,-28.9313382164578,2
6_#_BRCA_00029_TCGA-A2-A04X-01Z-00-DX1,27.755573489175,14.2369320066476,7
0_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,-13.7267670597223,-30.483644365456,2
1_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,-9.84006126632481,-2.70658874958093,6
4_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,-13.552208337048,-30.3089294868999,2
2_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,34.0274563576677,17.6316216008972,7
3_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,19.0451841762071,3.43435642924744,7
5_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,-18.8120794263495,-13.5368914349749,2
6_#_BRCA_00030_TCGA-A2-A04Y-01Z-00-DX1,23.9855391676707,-10.3760791943849,4
0_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,9.69940486074196,33.0547391638618,6
2_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,9.84188389323932,33.0144061600426,6
3_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,27.5179472777031,-19.1274746026734,4
4_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,7.20148290138803,34.4056383236248,6
1_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,26.8613812831681,-19.2521508721933,4
5_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,27.4146104286334,4.10136766850016,4
6_#_BRCA_00031_TCGA-A2-A0CK-01Z-00-DX1,9.74723414711826,-19.7591931594248,9
2_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,34.4170551846426,12.1806366477422,7
0_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,9.78737136143676,27.9315080154404,6
1_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,31.8541693349544,16.6863780544585,7
4_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,9.8344649060151,28.1681028985028,6
3_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,30.686812295711,19.5369928212338,7
5_#_BRCA_00032_TCGA-A2-A0CL-01Z-00-DX1,6.51193023472586,31.0079995704885,6
3_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-18.5366836033411,7.85196853341495,5
2_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,11.4494422396201,-14.6750182349982,4
0_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-14.7351614485982,26.2446146236699,6
1_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-17.3900960633834,7.8235979019705,5
4_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-18.6435824091105,7.93273949291699,5
5_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-7.29322379775693,12.1815757994935,7
6_#_BRCA_00033_TCGA-A2-A0CM-01Z-00-DX1,-17.2479065950751,7.73368067733502,5
1_#_BRCA_00034_TCGA-A2-A0CO-01Z-00-DX1,25.6928522353533,-11.5730764648561,4
2_#_BRCA_00034_TCGA-A2-A0CO-01Z-00-DX1,27.1567312327044,1.62028055930534,4
0_#_BRCA_00034_TCGA-A2-A0CO-01Z-00-DX1,-1.33362529288606,25.6342222934744,1
3_#_BRCA_00034_TCGA-A2-A0CO-01Z-00-DX1,27.269009155006,1.77800815763293,4
4_#_BRCA_00034_TCGA-A2-A0CO-01Z-00-DX1,29.3170656758968,9.01734450214257,7
0_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,19.1630679099295,0.0933678161713903,4
1_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,24.7227826094996,10.7941830727561,7
2_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,28.4163328270528,17.8049697425189,7
3_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,24.3406833664582,12.6332640507043,7
4_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,14.3248051167045,-10.1750222697201,4
5_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,19.3609976726081,0.0443695146457051,4
7_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,23.7595509766565,-3.23266405227818,4
6_#_BRCA_00035_TCGA-A2-A0CP-01Z-00-DX1,17.1059581241047,4.0213728540882,4
0_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,-5.09436234824199,4.78642034182475,6
1_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,-10.5526029856777,-15.1237656642275,2
4_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,12.7661044577409,15.165243221925,1
3_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,-13.958328545967,-21.9051558666072,2
2_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,24.7335507918798,13.3872748016334,7
7_#_BRCA_00036_TCGA-A2-A0CQ-01Z-00-DX1,-12.4418474704079,-5.444156889411,6
