gene
SLC25A24
SLC2A1
SLC2A8
SLC35A2
SLC43A1
SLC4A5
SLC8B1
SLC9A3R2
SLC9A8
SLFN13
SLPI
SMCHD1
SMG9
SMYD2
SNAPC3
SNF8
SNRPD3
SNTA1
SNX33
SNX8
SOD3
SOS2
SOX4
SP6
SPAG9
SPARC
SPIN1
SPSB1
SRGN
SRPX2
SRR
SRRT
SRSF1
SRSF5
SSSCA1
STAMBP
STAT5A
STK17A
STK4
STMN1
STRN3
STT3A
SUGP1
SURF1
SVIL
SYDE1
SYK
TACC3
TANC2
TARBP1
TAX1BP1
TAX1BP3
TBC1D10A
TBC1D23
TBCA
TBXAS1
TCEA2
TCEA3
TCF25
TDRD3
TESK1
TESMIN
TEX10
TEX2
TFF3
TGFBR2
THBS1
THOC5
THOC6
TIGD5
TIMP1
TJP3
TM7SF2
TMBIM6
TMEM101
TMEM123
TMEM14B
TMEM160
TMEM184A
TMEM259
TMEM86A
TMX1
TNC
TNFRSF14
TNFRSF21
TNFRSF4
TNNT1
TOM1L2
TP53I3
TPM2
TRAC
TRAF5
TRAP1
TRAPPC4
TRIM14
TRIM22
TRIM25
TRIM47
TSPAN33
TSR2
TTC31
TTI1
TXN2
TXNDC17
TXNRD2
TYROBP
UBA52
UBA6
UBAP2L
UBE2W
UBL7
UBR2
UBXN1
UCK1
UFD1L
UQCRC1
UXS1
UXT
VARS
VAV1
VCAM1
VEGFB
VIM
VPS13D
VPS45
VWF
WDFY3
WDR13
WDR34
WDR46
WDR73
WDR74
WIPF1
XAB2
XIAP
XPO6
YIPF4
YTHDC1
ZDHHC12
ZFAND3
ZFP36
ZFPL1
ZFR
ZG16B
ZMAT5
ZMYND19
ZMYND8
ZNF217
ZNF337
ZNF33B
ZNF362
ZNF524
ZNF592
ZNF644
ZNF668
ZNF771
ZNF787
ZNF791
ZNF83
ZNF91
ZNRF1
ZSWIM8
